scientific_name,ebird_code,common_name,alpha
Tangara desmaresti,brbtan1,Brassy-breasted Tanager,
Tangara dowii,spctan1,Spangle-cheeked Tanager,SCHT
Tangara fastuosa,sectan1,Seven-colored Tanager,
Tangara florida,emetan1,Emerald Tanager,EMTA
Tangara fucosa,grntan1,Green-naped Tanager,GNTA
Tangara gyrola,bahtan1,Bay-headed Tanager,BHTA
Tangara icterocephala,sittan1,Silver-throated Tanager,STTA
Tangara inornata,plctan1,Plain-colored Tanager,PCTA
Tangara johannae,blwtan1,Blue-whiskered Tanager,
Tangara labradorides,megtan1,Metallic-green Tanager,
Tangara lavinia,ruwtan1,Rufous-winged Tanager,RWTA
Tangara mexicana,turtan1,Turquoise Tanager,
Tangara nigroviridis,bestan1,Beryl-spangled Tanager,
Tangara parzudakii,flftan1,Flame-faced Tanager,
Tangara rufigenis,ructan2,Rufous-cheeked Tanager,
Tangara schrankii,gagtan2,Green-and-gold Tanager,
Tangara seledon,grhtan2,Green-headed Tanager,
Tangara vassorii,babtan1,Blue-and-black Tanager,
Tangara velia,oprtan1,Opal-rumped Tanager,
Tangara xanthocephala,sactan1,Saffron-crowned Tanager,
Tanna abdominalis,,,
Tanna infuscata,,,
Tanna japonensis,,,
Tanna obliqua,,,
Tanna ornatipennis,,,
Tanna sayurie,,,
Tanna sozanensis,,,
Tanna taipinensis,,,
Tanna viridis,,,
Tanychlamys indica,,,
Tanygnathus lucionensis,blnpar1,Blue-naped Parrot,
Tanygnathus megalorynchos,grbpar1,Great-billed Parrot,
Tanygnathus sumatranus,azrpar9,Azure-rumped Parrot,
Tanysiptera carolinae,nupkin1,Numfor Paradise Kingfisher,
Tanysiptera danae,bhpkin1,Brown-headed Paradise Kingfisher,
Tanysiptera ellioti,kopkin1,Kofiau Paradise Kingfisher,
Tanysiptera galatea,copkin1,Common Paradise Kingfisher,
Tanysiptera hydrocharis,lipkin1,Little Paradise Kingfisher,
Tanysiptera nigriceps,bubpak2,Black-capped Paradise Kingfisher,
Tanysiptera nympha,rbpkin1,Red-breasted Paradise Kingfisher,
Tanysiptera riedelii,bipkin1,Biak Paradise Kingfisher,
Tanysiptera sylvia,bubpak1,Buff-breasted Paradise Kingfisher,
Taoniscus nanus,dwatin1,Dwarf Tinamou,
Tap,,,
Tapera naevia,strcuc1,Striped Cuckoo,STCU
Taphrolesbia griseiventris,gybcom1,Grey-bellied Comet,
Taphrospilus hypostictus,mashum1,Many-spotted Hummingbird,
Tapirus bairdii,,,
Tapirus indicus,,,
Tapirus pinchaque,,,
Tapirus terrestris,,,
Taraba major,greant1,Great Antshrike,GANT
Tarbinskiellus portentosus,,,
Tarophagus colocasiae,,,
Tarphonomus certhioides,chaear1,Chaco Earthcreeper,
Tarphonomus harterti,bolear1,Bolivian Earthcreeper,
Tarsiger chrysaeus,gobrob1,Golden Bush Robin,
Tarsiger cyanurus,refblu1,Red-flanked Bluetail,RFBL
Tarsiger formosanus,whbbur3,Taiwan Bush Robin,
Tarsiger hyperythrus,rbbrob1,Rufous-breasted Bush Robin,
Tarsiger indicus,wbbrob1,White-browed Bush Robin,
Tarsiger johnstoniae,cobrob1,Collared Bush Robin,
Tarsiger rufilatus,himblu1,Himalayan Bluetail,
Tarsius fuscus,,,
Tarsius niemitzi,,,
Tarsius spectrumgurskyae,,,
Tartarogryllus tartarus,,,
Taruga eques,,,
Tauraco bannermani,bantur1,Bannerman's Turaco,
Tauraco corythaix,knytur1,Knysna Turaco,
Tauraco erythrolophus,rectur1,Red-crested Turaco,
Tauraco fischeri,fistur1,Fischer's Turaco,
Tauraco hartlaubi,hartur1,Hartlaub's Turaco,
Tauraco leucolophus,whctur2,White-crested Turaco,
Tauraco livingstonii,livtur1,Livingstone's Turaco,
Tauraco macrorhynchus,yebtur1,Yellow-billed Turaco,
Tauraco persa,guitur1,Guinea Turaco,
Tauraco rossae,rostur1,Ross's Turaco,
Tauraco schalowi,schtur1,Schalow's Turaco,
Tauraco schuettii,blbtur1,Black-billed Turaco,
Tauraco violaceus,viotur1,Violet Turaco,
Taurella forresti,,,
Taxidea taxus,,,
Tayassu pecari,,,
Tchagra australis,brctch1,Brown-crowned Tchagra,
Tchagra jamesi,thstch1,Three-streaked Tchagra,
Tchagra senegalus,bkctch1,Black-crowned Tchagra,
Tchagra tchagra,soutch1,Southern Tchagra,
Tearing,,,
Telacanthura melanopygia,blaspi1,Black Spinetail,
Telacanthura ussheri,motspi1,Mottled Spinetail,
Teledromas fuscus,sangal1,Sandy Gallito,
Teleogryllus bicoloripes,,,
Teleogryllus boninensis,,,
Teleogryllus commodus,,,
Teleogryllus emma,,,
Teleogryllus infernalis,,,
Teleogryllus mitratus,,,
Teleogryllus occipitalis,,,
Teleogryllus oceanicus,,,
Telephone,,,
Telespiza ultima,nihfin,Nihoa Finch,NIFI
Telmapsalta hackeri,,,
Telophorus dohertyi,dohbus1,Doherty's Bushshrike,
Telophorus viridis,focbus2,Gorgeous Bushshrike,
Telophorus zeylonus,bokmak1,Bokmakierie,
Temnurus temnurus,rattre2,Ratchet-tailed Treepie,
Tenrec ecaudatus,,,
Tephrodornis affinis,srlwoo1,Sri Lanka Woodshrike,
Tephrodornis pondicerianus,comwoo1,Common Woodshrike,
Tephrodornis sylvicola,malwoo1,Malabar Woodshrike,
Tephrodornis virgatus,larwoo1,Large Woodshrike,
Tephrophilus wetmorei,mamtan1,Masked Mountain Tanager,
Terathopius ecaudatus,batele1,Bateleur,
Teratohyla midas,,,
Teratohyla pulverata,,,
Terenotriccus erythrurus,rutfly2,Ruddy-tailed Flycatcher,RDTF
Terenura maculata,stcant3,Streak-capped Antwren,
Terenura sicki,orbant1,Orange-bellied Antwren,
Teretistris fernandinae,yehwar1,Yellow-headed Warbler,YHWA
Teretistris fornsi,oriwar1,Oriente Warbler,ORWA
Terpandrus calperum,,,
Terpandrus jumbunna,,,
Terpandrus splendidus,,,
Terpandrus woodgeri,,,
Terpnosia ganesa,,,
Terpsiphone affinis,blypaf1,Blyth's Paradise Flycatcher,
Terpsiphone atrocaudata,japfly1,Black Paradise Flycatcher,
Terpsiphone atrochalybeia,stpfly1,Sao Tome Paradise Flycatcher,
Terpsiphone batesi,batpaf1,Bates's Paradise Flycatcher,
Terpsiphone bourbonnensis,mapfly2,Mascarene Paradise Flycatcher,
Terpsiphone cinnamomea,rupfly1,Rufous Paradise Flycatcher,
Terpsiphone corvina,sepfly1,Seychelles Paradise Flycatcher,
Terpsiphone cyanescens,blpfly1,Blue Paradise Flycatcher,
Terpsiphone floris,blypaf3,Tenggara Paradise Flycatcher,
Terpsiphone incei,amupaf1,Amur Paradise Flycatcher,
Terpsiphone mutata,mapfly1,Malagasy Paradise Flycatcher,
Terpsiphone paradisi,aspfly1,Indian Paradise Flycatcher,
Terpsiphone rufiventer,bhpfly1,Red-bellied Paradise Flycatcher,
Terpsiphone rufocinerea,rvpfly1,Rufous-vented Paradise Flycatcher,
Terpsiphone viridis,afpfly1,African Paradise Flycatcher,
Tersina viridis,swatan1,Swallow Tanager,SWTA
Tesia cyaniventer,gybtes1,Grey-bellied Tesia,
Tesia everetti,ructes1,Russet-capped Tesia,
Tesia olivea,slbtes1,Slaty-bellied Tesia,
Tesia superciliaris,javtes1,Javan Tesia,
Tessaratoma papillosa,,,
Tessellana carinata,,,
Tessellana lagrecai,,,
Tessellana nigrosignata,,,
Tessellana orina,,,
Tessellana tessellata,,,
Tessellana veyseli,,,
Testudo horsfieldii,,,
Tetrao urogalloides,blbcap1,Black-billed Capercaillie,
Tetrao urogallus,wescap1,Western Capercaillie,
Tetraogallus altaicus,altsno1,Altai Snowcock,
Tetraogallus caspius,cassno1,Caspian Snowcock,
Tetraogallus caucasicus,causno1,Caucasian Snowcock,
Tetraogallus himalayensis,himsno,Himalayan Snowcock,HISN
Tetraogallus tibetanus,tibsno1,Tibetan Snowcock,
Tetraopes femoratus,,,
Tetraopes tetrophthalmus,,,
Tetraophasis obscurus,verpar1,Chestnut-throated Monal-Partridge,
Tetraophasis szechenyii,szepar1,Buff-throated Monal-Partridge,
Tetrastes bonasia,hazgro1,Hazel Grouse,
Tetrastes sewerzowi,sevgro1,Chinese Grouse,
Tetrax tetrax,litbus1,Little Bustard,
Tettigades ulnaria,,,
Tettigades undata,,,
Tettigetta omar,,,
Tettigetta prasina,,,
Tettigetta shansiensis,,,
Tettigettalna afroamissa,,,
Tettigettalna aneabi,,,
Tettigettalna argentata,,,
Tettigettalna boulardi,,,
Tettigettalna estrellae,,,
Tettigettalna helianthemi,,,
Tettigettalna josei,,,
Tettigettalna mariae,,,
Tettigettula pygmea,,,
Tettigonia armeniaca,,,
Tettigonia balcanica,,,
Tettigonia cantans,,,
Tettigonia caudata,,,
Tettigonia chinensis,,,
Tettigonia hispanica,,,
Tettigonia longispina,,,
Tettigonia orientalis,,,
Tettigonia silana,,,
Tettigonia viridissima,,,
Thalassarche bulleri,bulalb2,Buller's Albatross,
Thalassarche carteri,yenalb3,Indian Yellow-nosed Albatross,
Thalassarche cauta,whcalb1,Shy Albatross,WCAL
Thalassarche chlororhynchos,yenalb2,Atlantic Yellow-nosed Albatross,YNAL
Thalassarche eremita,shyalb2,Chatham Albatross,CHAL
Thalassarche melanophris,bkbalb,Black-browed Albatross,BBAL
Thalassarche salvini,salalb1,Salvin's Albatross,SAAL
Thalasseus albididorsalis,royter2,West African Crested Tern,
Thalasseus bengalensis,lecter2,Lesser Crested Tern,
Thalasseus bergii,grcter1,Greater Crested Tern,GCTE
Thalasseus bernsteini,chcter2,Chinese Crested Tern,
Thalasseus elegans,eleter1,Elegant Tern,ELTE
Thalasseus maximus,royter1,Royal Tern,ROYT
Thalasseus sandvicensis,santer1,Sandwich Tern,SATE
Thalassoica antarctica,antpet1,Antarctic Petrel,
Thalassornis leuconotus,whbduc1,White-backed Duck,
Thalurania colombica,crowoo1,Crowned Woodnymph,CRWO
Thalurania furcata,fotwoo1,Fork-tailed Woodnymph,
Thalurania glaucopis,vicwoo2,Violet-capped Woodnymph,
Thalurania watertonii,lotwoo2,Long-tailed Woodnymph,
Thamnistes anabatinus,rusant1,Russet Antshrike,RUAN
Thamnistes rufescens,rufant12,Rufescent Antshrike,
Thamnolaea cinnamomeiventris,moccha1,Mocking Cliff Chat,
Thamnomanes ardesiacus,dutant2,Dusky-throated Antshrike,
Thamnomanes caesius,cinant1,Cinereous Antshrike,
Thamnomanes saturninus,satant1,Saturnine Antshrike,
Thamnomanes schistogynus,blsant1,Bluish-slate Antshrike,
Thamnophilus aethiops,whsant2,White-shouldered Antshrike,
Thamnophilus amazonicus,amaant2,Amazonian Antshrike,
Thamnophilus ambiguus,soosla1,Sooretama Slaty Antshrike,
Thamnophilus aroyae,uplant1,Upland Antshrike,
Thamnophilus atrinucha,wesant1,Black-crowned Antshrike,BCAS
Thamnophilus bernardi,colant1,Collared Antshrike,
Thamnophilus bridgesi,blhant2,Black-hooded Antshrike,BHOA
Thamnophilus caerulescens,varant1,Variable Antshrike,
Thamnophilus cryptoleucus,casant1,Castelnau's Antshrike,
Thamnophilus divisorius,acrant1,Acre Antshrike,
Thamnophilus doliatus,barant1,Barred Antshrike,BAAN
Thamnophilus insignis,stbant1,Streak-backed Antshrike,
Thamnophilus melanonotus,blbant1,Black-backed Antshrike,
Thamnophilus melanothorax,batant2,Band-tailed Antshrike,
Thamnophilus multistriatus,bacant2,Bar-crested Antshrike,
Thamnophilus murinus,mocant1,Mouse-colored Antshrike,
Thamnophilus nigriceps,blaant1,Black Antshrike,BLAN
Thamnophilus nigrocinereus,blgant2,Blackish-grey Antshrike,
Thamnophilus palliatus,chbant2,Chestnut-backed Antshrike,
Thamnophilus pelzelni,plasla1,Planalto Slaty Antshrike,
Thamnophilus praecox,cocant1,Cocha Antshrike,
Thamnophilus punctatus,norsla1,Northern Slaty Antshrike,
Thamnophilus ruficapillus,rucant1,Rufous-capped Antshrike,
Thamnophilus schistaceus,plwant1,Plain-winged Antshrike,
Thamnophilus stictocephalus,natsla1,Natterer's Slaty Antshrike,
Thamnophilus sticturus,bolsla1,Bolivian Slaty Antshrike,
Thamnophilus tenuepunctatus,linant1,Lined Antshrike,
Thamnophilus torquatus,ruwant2,Rufous-winged Antshrike,
Thamnophilus unicolor,uniant2,Uniform Antshrike,
Thamnophilus zarumae,chaant1,Chapman's Antshrike,
Thamnophis sirtalis,,,
Thamnornis chloropetoides,thamno2,Thamnornis,
Thaumasius baeri,tumhum1,Tumbes Hummingbird,
Thaumasius taczanowskii,spthum2,Spot-throated Hummingbird,
Thaumastura cora,pershe2,Peruvian Sheartail,
Thecadactylus rapicauda,,,
Thectocercus acuticaudatus,bucpar,Blue-crowned Parakeet,
Theristicus branickii,bkfibi2,Andean Ibis,
Theristicus caerulescens,pluibi1,Plumbeous Ibis,
Theristicus caudatus,bunibi1,Buff-necked Ibis,BNIB
Theristicus melanopis,bkfibi1,Black-faced Ibis,
Theropithecus gelada,,,
Thescelocichla leucopleura,swagre1,Swamp Palm Bulbul,
Thinocorus orbignyianus,gybsee1,Grey-breasted Seedsnipe,
Thinocorus rumicivorus,leasee1,Least Seedsnipe,
Thinornis cucullatus,hooplo2,Hooded Plover,
Thinornis dubius,lirplo,Little Ringed Plover,
Thinornis forbesi,forplo1,Forbes's Plover,
Thinornis melanops,blfdot1,Black-fronted Dotterel,
Thinornis novaeseelandiae,shoplo1,Shore Plover,
Thinornis placidus,lobplo1,Long-billed Plover,
Thinornis tricollaris,thbplo1,Three-banded Plover,
Thlypopsis fulviceps,fuhtan1,Fulvous-headed Tanager,
Thlypopsis inornata,bubtan1,Buff-bellied Tanager,
Thlypopsis ornata,ructan3,Rufous-chested Tanager,
Thlypopsis pectoralis,brftan1,Brown-flanked Tanager,
Thlypopsis pyrrhocoma,chhtan1,Chestnut-headed Tanager,
Thlypopsis ruficeps,raytan1,Rust-and-yellow Tanager,
Thlypopsis sordida,orhtan1,Orange-headed Tanager,
Thlypopsis superciliaris,suphem1,Superciliaried Hemispingus,
Thopha saccata,,,
Thopha sessiliba,,,
Thoracistus viridicrus,,,
Thraupis abbas,yewtan1,Yellow-winged Tanager,YWTA
Thraupis cyanoptera,azstan1,Azure-shouldered Tanager,
Thraupis episcopus,bugtan,Blue-grey Tanager,BGTA
Thraupis glaucocolpa,glatan1,Glaucous Tanager,
Thraupis ornata,goctan2,Golden-chevroned Tanager,
Thraupis palmarum,paltan1,Palm Tanager,PATA
Thraupis sayaca,saytan1,Sayaca Tanager,
Threnetes leucurus,patbar1,Pale-tailed Barbthroat,
Threnetes niger,soobar1,Sooty Barbthroat,
Threnetes ruckeri,batbar1,Band-tailed Barbthroat,BTBA
Threskiornis aethiopicus,sacibi2,African Sacred Ibis,
Threskiornis melanocephalus,blhibi1,Black-headed Ibis,
Threskiornis molucca,ausibi1,Australian White Ibis,
Threskiornis spinicollis,stnibi1,Straw-necked Ibis,
Thripadectes flammulatus,flatre1,Flammulated Treehunter,
Thripadectes holostictus,strtre1,Striped Treehunter,
Thripadectes ignobilis,unitre1,Uniform Treehunter,
Thripadectes melanorhynchus,blbtre1,Black-billed Treehunter,
Thripadectes rufobrunneus,stbtre1,Streak-breasted Treehunter,SBTR
Thripadectes scrutator,rubtre1,Peruvian Treehunter,
Thripadectes virgaticeps,stctre1,Streak-capped Treehunter,
Thripophaga amacurensis,deasof1,Delta Amacuro Softtail,
Thripophaga cherriei,orisof1,Orinoco Softtail,
Thripophaga fusciceps,plasof1,Plain Softtail,
Thripophaga gutturata,spespi1,Speckled Spinetail,
Thripophaga macroura,strsof1,Striated Softtail,
Thryomanes bewickii,bewwre,Bewick's Wren,BEWR
Thryophilus nicefori,nicwre1,Niceforo's Wren,
Thryophilus pleurostictus,banwre1,Banded Wren,BANW
Thryophilus rufalbus,rawwre1,Rufous-and-white Wren,RAWW
Thryophilus sernai,antwre2,Antioquia Wren,
Thryophilus sinaloa,sinwre1,Sinaloa Wren,SIWR
Thryorchilus browni,timwre1,Timberline Wren,TIWR
Thryothorus ludovicianus,carwre,Carolina Wren,CARW
Thump_and_thud,,,
Thunder,,,
Thunderstorm,,,
Thyreonotus bidens,,,
Thyreonotus corsicus,,,
Tiaris olivaceus,yefgra1,Yellow-faced Grassquit,YFGR
Tibicina garricola,,,
Tibicina haematodes,,,
Tibicina quadrisignata,,,
Tibicina steveni,,,
Tibicinoides boweni,,,
Tibicinoides catalina,,,
Tibicinoides cupreosparsa,,,
Tibicinoides hesperia,,,
Tibicinoides minuta,,,
Tibicinoides pallidula,,,
Tibicinoides rubrovenosa,,,
Tibicinoides striatipes,,,
Tibicinoides uncinata,,,
Tibicinoides utahensis,,,
Tibicinoides vanduzeei,,,
Tichodroma muraria,wallcr1,Wallcreeper,
Tick,,,
Tick-tock,,,
Tickellia hodgsoni,brbwar1,Broad-billed Warbler,
Tigriornis leucolopha,whcbit1,White-crested Tiger Heron,
Tigrisoma fasciatum,father1,Fasciated Tiger Heron,FTHE
Tigrisoma lineatum,ruther1,Rufescent Tiger Heron,RTHE
Tigrisoma mexicanum,btther1,Bare-throated Tiger Heron,BTTH
Tilmatura dupontii,spthum1,Sparkling-tailed Woodstar,SKTH
Timalia pileata,chcbab1,Chestnut-capped Babbler,
Timeliopsis griseigula,tawstr1,Tawny Straightbill,
Tinamotis ingoufi,pattin1,Patagonian Tinamou,
Tinamotis pentlandii,puntin1,Puna Tinamou,
Tinamus guttatus,whttin1,White-throated Tinamou,
Tinamus major,gretin1,Great Tinamou,GRTI
Tinamus osgoodi,blatin1,Black Tinamou,
Tinamus solitarius,soltin1,Solitary Tinamou,
Tinamus tao,grytin1,Grey Tinamou,
Tityra cayana,blttit1,Black-tailed Tityra,
Tityra inquisitor,blctit1,Black-crowned Tityra,BCRT
Tityra semifasciata,mastit1,Masked Tityra,MATI
Tlalocohyla loquax,,,
Tlalocohyla picta,,,
Tlalocohyla smithii,,,
Tmetothylacus tenellus,golpip1,Golden Pipit,
Tockus damarensis,drbhor1,Damara Red-billed Hornbill,
Tockus deckeni,vddhor1,Von der Decken's Hornbill,
Tockus erythrorhynchus,rebhor1,Northern Red-billed Hornbill,
Tockus flavirostris,eybhor1,Eastern Yellow-billed Hornbill,
Tockus jacksoni,jachor1,Jackson's Hornbill,
Tockus kempi,wrbhor2,Western Red-billed Hornbill,
Tockus leucomelas,sybhor1,Southern Yellow-billed Hornbill,
Tockus monteiri,monhor1,Monteiro's Hornbill,
Tockus ruahae,trbhor1,Tanzanian Red-billed Hornbill,
Tockus rufirostris,srbhor1,Southern Red-billed Hornbill,
Todiramphus albicilla,colkin2,Mariana Kingfisher,
Todiramphus albonotatus,nebkin1,White-mantled Kingfisher,
Todiramphus australasia,cibkin1,Cinnamon-banded Kingfisher,
Todiramphus chloris,colkin1,Collared Kingfisher,
Todiramphus colonus,colkin17,Islet Kingfisher,
Todiramphus diops,bawkin1,Blue-and-white Kingfisher,
Todiramphus enigma,talkin1,Talaud Kingfisher,
Todiramphus farquhari,chbkin1,Vanuatu Kingfisher,
Todiramphus funebris,somkin1,Sombre Kingfisher,
Todiramphus godeffroyi,markin2,Marquesan Kingfisher,
Todiramphus lazuli,lazkin1,Lazuli Kingfisher,
Todiramphus leucopygius,ultkin1,Ultramarine Kingfisher,
Todiramphus macleayii,forkin1,Forest Kingfisher,
Todiramphus nigrocyaneus,blbkin3,Blue-black Kingfisher,
Todiramphus pyrrhopygius,rebkin2,Red-backed Kingfisher,
Todiramphus recurvirostris,flbkin1,Flat-billed Kingfisher,
Todiramphus reichenbachii,mickin5,Pohnpei Kingfisher,
Todiramphus ruficollaris,mankin1,Mewing Kingfisher,
Todiramphus sacer,packin1,Pacific Kingfisher,
Todiramphus sanctus,sackin1,Sacred Kingfisher,
Todiramphus saurophagus,beakin2,Beach Kingfisher,
Todiramphus sordidus,colkin9,Torresian Kingfisher,
Todiramphus tristrami,melkin1,Melanesian Kingfisher,
Todiramphus tutus,chakin2,Chattering Kingfisher,
Todiramphus veneratus,tahkin1,Society Kingfisher,
Todiramphus winchelli,rulkin1,Rufous-lored Kingfisher,
Todirostrum chrysocrotaphum,ybtfly1,Yellow-browed Tody-Flycatcher,
Todirostrum cinereum,cotfly1,Common Tody-Flycatcher,COTF
Todirostrum maculatum,sptfly1,Spotted Tody-Flycatcher,
Todirostrum nigriceps,bhtfly1,Black-headed Tody-Flycatcher,BHTF
Todirostrum pictum,patfly1,Painted Tody-Flycatcher,
Todirostrum poliocephalum,gyhtof1,Yellow-lored Tody-Flycatcher,
Todirostrum viridanum,matfly1,Maracaibo Tody-Flycatcher,
Todus angustirostris,nabtod1,Narrow-billed Tody,NBTO
Todus mexicanus,purtod1,Puerto Rican Tody,PRTO
Todus multicolor,cubtod1,Cuban Tody,CUTO
Todus subulatus,brbtod1,Broad-billed Tody,BBTO
Todus todus,jamtod1,Jamaican Tody,JATO
Toilet_flush,,,
Tolmomyias assimilis,yemfly1,Yellow-margined Flatbill,
Tolmomyias flaviventris,yebfly3,Ochre-lored Flatbill,OLOF
Tolmomyias flavotectus,yemfly2,Yellow-winged Flatbill,YWFL
Tolmomyias poliocephalus,gycfly1,Grey-crowned Flatbill,
Tolmomyias sulphurescens,yeofly1,Yellow-olive Flatbill,YOFL
Tolmomyias traylori,orefly1,Orange-eyed Flatbill,
Tolmomyias viridiceps,yebfly4,Olive-faced Flatbill,
Tomopterna adiastola,,,
Tomopterna delalandii,,,
Tomopterna marmorata,,,
Tomopterna natalensis,,,
Tomopterna tandyi,,,
Tools,,,
Topaza pella,critop1,Crimson Topaz,
Topaza pyra,fietop1,Fiery Topaz,
Torreornis inexpectata,zapspa1,Zapata Sparrow,ZASP
Tosena albata,,,
Touit batavicus,litpar2,Lilac-tailed Parrotlet,
Touit costaricensis,refpar1,Red-fronted Parrotlet,RFPA
Touit dilectissimus,bufpar1,Blue-fronted Parrotlet,BFPA
Touit huetii,scspar1,Scarlet-shouldered Parrotlet,
Touit melanonotus,brbpar1,Brown-backed Parrotlet,
Touit purpuratus,sarpar2,Sapphire-rumped Parrotlet,
Touit stictopterus,spwpar2,Spot-winged Parrotlet,
Touit surdus,gotpar2,Golden-tailed Parrotlet,
Toxala verna,,,
Toxorhamphus novaeguineae,yeblon1,Yellow-bellied Longbill,
Toxorhamphus poliopterus,slclon1,Slaty-headed Longbill,
Toxorhynchites rutilus,,,
Toxostoma bendirei,benthr,Bendire's Thrasher,BETH
Toxostoma cinereum,grathr1,Grey Thrasher,GRAT
Toxostoma crissale,crithr,Crissal Thrasher,CRTH
Toxostoma curvirostre,cubthr,Curve-billed Thrasher,CBTH
Toxostoma guttatum,cozthr1,Cozumel Thrasher,COZT
Toxostoma lecontei,lecthr,LeConte's Thrasher,LCTH
Toxostoma longirostre,lobthr,Long-billed Thrasher,LBTH
Toxostoma ocellatum,ocethr1,Ocellated Thrasher,OCTH
Toxostoma redivivum,calthr,California Thrasher,CATH
Toxostoma rufum,brnthr,Brown Thrasher,BRTH
Toya dryope,,,
Trachycephalus coriaceus,,,
Trachycephalus cunauaru,,,
Trachycephalus hadroceps,,,
Trachycephalus mesophaeus,,,
Trachycephalus nigromaculatus,,,
Trachycephalus resinifictrix,,,
Trachycephalus typhonius,,,
Trachycephalus vermiculatus,,,
Trachycephalus vermiculatus-complex,,,
Trachylaemus purpuratus,yebbar5,Eastern Yellow-billed Barbet,
Trachyphonus darnaudii,darbar1,D'Arnaud's Barbet,
Trachyphonus erythrocephalus,raybar1,Red-and-yellow Barbet,
Trachyphonus margaritatus,yebbar2,Yellow-breasted Barbet,
Trachyphonus vaillantii,crebar1,Crested Barbet,
Trachypithecus cristatus,,,
Trachypithecus germaini,,,
Trachypithecus leucocephalus,,,
Trachypithecus obscurus,,,
Trachypithecus phayrei,,,
Trachypithecus pileatus,,,
Traffic_noise_and_roadway_noise,,,
Tragelaphus derbianus,,,
Tragelaphus oryx,,,
Tragelaphus scriptus,,,
Tragelaphus spekii,,,
Tragelaphus strepsiceros,,,
Tragelaphus sylvaticus,,,
Tragopan blythii,blytra1,Blyth's Tragopan,
Tragopan caboti,cabtra1,Cabot's Tragopan,
Tragopan melanocephalus,westra1,Western Tragopan,
Tragopan satyra,sattra1,Satyr Tragopan,
Tragopan temminckii,temtra1,Temminck's Tragopan,
Train,,,
Trellius helverseni,,,
Tremarctos ornatus,,,
Treron affinis,pomgrp2,Grey-fronted Green Pigeon,
Treron apicauda,pitpig1,Pin-tailed Green Pigeon,
Treron australis,madgrp1,Madagascar Green Pigeon,
Treron axillaris,pomgrp1,Philippine Green Pigeon,
Treron bicinctus,orbpig1,Orange-breasted Green Pigeon,
Treron calvus,afrgrp1,African Green Pigeon,
Treron capellei,lagpig1,Large Green Pigeon,
Treron chloropterus,pomgrp4,Andaman Green Pigeon,
Treron curvirostra,thbpig1,Thick-billed Green Pigeon,
Treron floris,flgpig1,Flores Green Pigeon,
Treron formosae,whgpig1,Whistling Green Pigeon,
Treron fulvicollis,cihpig1,Cinnamon-headed Green Pigeon,
Treron griseicauda,gycpig1,Grey-cheeked Green Pigeon,
Treron griveaudi,madgrp2,Comoro Green Pigeon,
Treron olax,ligpig1,Little Green Pigeon,
Treron oxyurus,gnspig1,Sumatran Green Pigeon,
Treron pembaensis,pegpig1,Pemba Green Pigeon,
Treron phayrei,pomgrp5,Ashy-headed Green Pigeon,
Treron phoenicopterus,yefpig1,Yellow-footed Green Pigeon,
Treron pompadora,pogpig1,Sri Lanka Green Pigeon,
Treron psittaceus,timgrp1,Timor Green Pigeon,
Treron sanctithomae,stgpig1,Sao Tome Green Pigeon,
Treron seimundi,yevpig1,Yellow-vented Green Pigeon,
Treron sieboldii,whbpig1,White-bellied Green Pigeon,
Treron sphenurus,wetpig1,Wedge-tailed Green Pigeon,
Treron teysmannii,sugpig2,Sumba Green Pigeon,
Treron vernans,pinpig3,Pink-necked Green Pigeon,
Treron waalia,brgpig1,Bruce's Green Pigeon,
Tribonyx mortierii,tanhen1,Tasmanian Nativehen,
Tribonyx ventralis,btnhen1,Black-tailed Nativehen,
Trichechus manatus,,,
Trichodere cockerelli,whshon1,White-streaked Honeyeater,
Trichoglossus borneus,redlor1,Red Lory,
Trichoglossus chlorolepidotus,scblor1,Scaly-breasted Lorikeet,
Trichoglossus concinnus,muslor1,Musk Lorikeet,
Trichoglossus cyanogenius,blwlor1,Black-winged Lory,
Trichoglossus euteles,olhlor1,Olive-headed Lorikeet,
Trichoglossus flavoviridis,yaglor3,Sula Lorikeet,
Trichoglossus forsteni,railor3,Sunset Lorikeet,
Trichoglossus haematodus,railor4,Coconut Lorikeet,
Trichoglossus iris,irilor1,Iris Lorikeet,
Trichoglossus meyeri,yaglor2,Yellow-cheeked Lorikeet,
Trichoglossus moluccanus,railor5,Rainbow Lorikeet,
Trichoglossus ornatus,ornlor1,Ornate Lorikeet,
Trichoglossus reticulatus,blslor1,Blue-streaked Lory,
Trichoglossus rosenbergii,railor6,Biak Lorikeet,
Trichoglossus rubiginosus,pohlor1,Pohnpei Lorikeet,
Trichoglossus rubritorquis,railor7,Red-collared Lorikeet,
Trichoglossus squamatus,vinlor1,Violet-necked Lory,
Tricholaema diademata,refbar2,Red-fronted Barbet,
Tricholaema frontata,miobar1,Miombo Pied Barbet,
Tricholaema hirsuta,habbar1,Hairy-breasted Barbet,
Tricholaema lacrymosa,spfbar1,Spot-flanked Barbet,
Tricholaema leucomelas,piebar1,Acacia Pied Barbet,
Tricholaema melanocephala,bltbar1,Black-throated Barbet,
Tricholestes criniger,habbul1,Hairy-backed Bulbul,
Trichosurus cunninghami,,,
Trichosurus vulpecula,,,
Trichothraupis melanops,blgtan1,Black-goggled Tanager,
Trickle_and_dribble,,,
Triclaria malachitacea,blbpar4,Blue-bellied Parrot,
Triclista guttata,,,
